News,URL,Logo
Agence France-Presse (AFP),https://www.afp.com/en,afp.png
AllSides,https://www.allsides.com/unbiased-balanced-news,allsides.png
Asia Times,https://asiatimes.com/#,asiatimes.png
Associated Press,https://apnews.com,associated_press.png
BBC News,https://www.bbc.com/news,bbc.png
C-Span,https://www.c-span.org,c_span.png
Consortiumnews.com,https://consortiumnews.com,consortium_news.png
Democracy Now,https://www.democracynow.org,democracy_now.png
Reuters,https://www.reuters.com,reuters.png
The Center for Public Integrity,https://publicintegrity.org,center_public_integrity.png
The Daily Beast,https://www.thedailybeast.com,daily_beast.png
United Press International,https://www.upi.com,upi.png