,Top 10 Songs 2020 – Billboard - https://www.billboard.com/media/lists/best-songs-of-2020-top-50-so-far-9395318/,,
Rank,Singer,Music,Studio Album,Album Cover,Video
1,The Weeknd,Blinding Lights,After Hours,theweekend_afterhours.png,https://www.youtube.com/watch?v=4NRXx6U8ABQ
2,Megan Thee Stallion,Savage,Suga,megan_thee_stallion_suga.png,https://www.youtube.com/watch?v=eJEKHdvntPI
3,Harry Styles,Adore You,Fine Line,harry_styles_fineline.png,https://www.youtube.com/watch?v=VF-r5TtlT9w
4,Doja Cat,Say So,Hot Pink,doja_cat_hotpink.png,https://www.youtube.com/watch?v=pok8H_KF1FA
5,Roddy Ricch,The Box,Please Excuse Me for Being Antisocial,roddy_ricch_antisocial.png,https://www.youtube.com/watch?v=UNZqm3dxd2w
6,Lady Gaga,Stupid Love,Chromatica,lady_gaga_chromatica.png,https://www.youtube.com/watch?v=5L6xyaeiV58
7,Christine and the Queens,"People, I’ve been sad",La Vita Nuova,christine_la_vita_nuova.png,https://www.youtube.com/watch?v=uNGguudoLVs
8,Dua Lipa,Physical,Future Nostalgia,dua_lipa_nostalgia.png,https://www.youtube.com/watch?v=9HDEHj2yzew
9,Grimes,Delete Forever,Miss Anthropocene,grimes_miss_anthropocene.png,https://www.youtube.com/watch?v=gvzC8MmC850
10,Dixie Chicks,Gaslighter,Gaslighter,dixie_chicks_gaslighter.png,https://www.youtube.com/watch?v=sbVPcPL30xc